id,text,label,origin,type,language,split,translated_text
en_15989,"@USER__ juxtapid cert takes 20-40 min, i am curious how many docs/pts will respond when l enzymes start to climb, i think high discont rate",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER__ Juxtapid-Einnahme dauert 20-40 Minuten, ich bin es interessiert, wie viele ÄrztePatienten antworten werden, wenn die Enzyme steigen, denke hohe Discontinuierungsrate"
en_5401,"rt @USER__: depression hurts, cymbalta can help. ""@USER________: not much excites me nowadays.""",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"rt USER__ Depression schmerzt, Cymbalta kann helfen. ""USER________"" nichts erregt mich derzeit sehr."
en_13108,the affordable care act should include free adderall for everyone,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Das affordable care act sollte kostenlose Ritalin für alle einschließen
en_552,@USER_______ Save the paroxetine for the husbands of women having the hot flashes.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"USER_______ Speicher die Paroxetine für die Ehemänner von Frauen, die heiße Flüssigkeitsausbrüche haben."
en_10612,i'm loosing so much blood right now. humira is some scurry ish.,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Ich verliere so viel Blut gerade jetzt. Humira ist etwas Skurriles.
en_17567,Nicotine ovvvva niggas,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,Nikotin oooooo Freunde
en_9239,@USER________ @USER_________ it's about _novel_ agents. Lamictal is not novel in the least.,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER________ USER_________ es geht um _neue_ Agentien. Lamictal ist nicht neu am wenigsten.
en_16926,"Zoloft &Paxil & Buspar & Xanax Depakote, Klonopin, Ambien, Prozac Atavan calms me when i see the bills These are a few of my favorite pills",0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"Zoloft  Paxil  Buspar  Xanax Depakote, Klonopin, Ambien, Prozac Atavan beruhigt mich, wenn ich die Rechnungen siehe. Diese sind einige meine Lieblingspräparate."
en_6865,@USER________ to stay with mr.zometa and play soccer ((;,0.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,USER________ mit Herrn.zometa zusammenbleiben und Fußball spielen ((
en_2925,i need to start taking my viibryd again but it makes me feel so nauseous ughhh,1.0,previous_SMM4H,tweet,de_translated,SMM4H_26_train,"ich muss mein Viibryd wieder aufnehmen, aber es macht mich so krankfühlig ughhh"
