id,text,label,origin,type,language,split
en_7672,"No advantage for early-stage node-negative ER+ breast cancer patients in 5 additional years of aromatase inhibitor therapy | My tumor was only 2mm, I was N0, and I decided NOT to take Arimidex for 5 more years: HTTPURL________________",0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_15254,And jfc I can't believe I watched that many eps. The Prozac must be working. Lol. Now I w stfu and stop clogging your timeline w bs. :D,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_15765,Started vyvanse today and I've taken 4 pages of notes front and back in the first hour of class #gettinshitdone,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_15252,"I hear people at xsport always talking about ""pre workout supplements"" I'm like yea it's called vyvanse baby #endurance",0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_12107,@USER_____ It's fluoxetine or something like that. It's generic for Prozac.,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_16977,"i'm dying. the symbicort commercial where the grandfather mentions the wolf huffing and puffing and the grandkid is like: it's you, grandpa!",0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_15068,ivy league news: effexor in morning or bedtime: now i was given leaflet provided by your freedom. of rfid signals specialists at corn...,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_11973,"boniva commercial:""grandma, you're so dense.""   ""you're right, sean, my bone density num-""   ""no, i meant you're a total fu-"" ask your docto",0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_12246,i asked my friend if she had anything for period cramps and she gives me an oxycodone,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_13913,“@USER_____ Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” Don't tell @USER______!,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_4029,@USER_________ we'll figure something out; maybe lamotrigine isn't the right medication for you.,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_3815,@USER_______ pharmacist even came up to me and said I could buy diclofenac - just use double the dose the shop bought ones come in. Cheeky!,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_1705,@USER________ @USER___________ @USER____ what kind of medication? i've recently come off cymbalta!,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_3875,cannot believe it: ezetimibe added to simvastatin improves cv outcomes in improve-it... still gonna use atorvastatin instead. #aha14,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_3773,Hmm  There isnt enough ventolin  Gym it is,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
en_4113,Palbociclib and fulvestrant act in synergy to modulate central carbon metabolism in breast cancer cells HTTPURL________________,0.0,previous_SMM4H,tweet,en,SMM4H_26_train
