id,text,label,origin,type,language,split
ru_7849,"Я прыскала тафен, но с приходом простуды ринит вернулся.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_11190,выпила 10мг оланзапина и ложусь спать. если это дерьмо меня не вырубит то я не знаю что ещё делать,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5181,"При простуде очень действенно, особенно на её начальной стадии.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_6490,я с пароксетином пила.. но редко и немного,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_8224,"Спонсор постоянной харчи, Паша Техник так с ксанакса слез",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_10030,"Лимоны и имбирь не помогут, поюзай тамифлю. Он норм симптомы собьет и будешь хотя бы в адеквате, хоть и без бодрости.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1872,"В то время как мы попали в больницу, доктор нам сообщил, что именно после приема этого препарата очень много детей поступает в больницы скорой помощи с тяжелыми аллергическими реакциями.",1.0,RuDReC,sentence,ru,SMM4H_26_train
ru_233,"Ремантадин я знаю уже давно и он зарекомендовал себя с хорошей стороны. Лет пять назад мне его посоветовала врач. С тех пор простуду лечу только им. В отличие от других противовирусных препаратов стоит он очень не дорого, за-то помогает лучше некоторых дорогостоящих препаратов. И таблеток в упаковке вполне хватает на курс приема. Облегчение чувствуется уже в первый день приема. Если принимать таблетки точно следуя инструкции - от болезни не останется и следа. Вот только беременным и кормящим мамам он противопоказан и этот факт меня очень расстроил когда я заболела в период кормления грудью, пришлось подбирать другой препарат.",0.0,RuDReC,review,ru,SMM4H_26_train
ru_8377,"пиздец, слезать с ксанакса - самое сильное и ужасное, что я делала",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1327,"Температура сохраняется, сопли ручьем, горло режет ножами, голова раскалывается.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_4343,"Здравствуйте, дорогие читатели и посетители сайта Отзовик!",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_4602,"Я с женой тут же его купил, а после инструкцию прочитали.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_6720,"Знаю, сама L-тироксин пожизненно принимаю. Болезнь хашимото называется.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_10024,"Бренды БАДов ""Сеалекс"" и ""Аликапс"" изымают из аптек #Потребрынок",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_3479,Общее впечатление : Не помог( RATING 3 NOTE,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_3123,"Порошковый препарат, который эффективен при первых же симптомах простуды.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_3174,"Начала принимать афобазол по назначению врача. Через неделю приема появились необоснованные страхи, вялость, аппатия и в то же время агрессия. Вообще не понимала что со мной происходит. Слава Богу, врач вовремя заметила, что афобазол так действует, назначила вместо него биотредин. Вот именно этот препарат мне и помог, а у афобазола слишком много побочных эффектов и противопоказаний. Общее впечатление : Жуткий препарат",1.0,RuDReC,review,ru,SMM4H_26_train
ru_10415,"@ineed_a_doctor_ ПО большому счету глюкофаж для ленивых и тех кто готов терпеть  тошноту. Ну либо у кого по счастью нет реакции. И то ИМХО не надо его на постоянку. ИМХО если организм молодой  и есть желание лечиться надо на грамотную диету, и правильные добавки,  а не его.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5807,"Если не пить ремантадин для профилактики, то все действует. От вируса А. А от вируса гриппа В - осельтамивир",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_8636,Кот походу мой баклосан нашёл и его норм так въебало,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_11047,"Флуоксетина нет, но вы держитесь.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_3234,"( Вечером выпила но-шпа как все прошло, пью два дня у меня не кружится голова и не болит)))если бы не но-шпа я не знаю что было со мной!",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_6779,Получается за ксанакс тоже вяжут,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_6750,"Если у тебя положительная реакция на флуоксетин, он же прозак, то его и нужно принимать. Лично для меня это лучшее из всего, чем меня лечили",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1671,"Мои любимые свечи Виферон не подошли дочке, развилась аллергия на масло какао, что бывает давольно часто.",1.0,RuDReC,sentence,ru,SMM4H_26_train
ru_11785,шея болит целый день снова мне кажется я и вольтарен отличная пара,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_12635,"О, у меня тоже был Симбикорт",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1100,С аквалором познакомились мы совсем недавно.,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_10148,"@Saleksashenko по мнению ФАС, @AstraZeneca завысили цену Нексиум более чем в десять раз, так в Хорватии упаковка 40 мг стоит 179,12 руб., а в России более 1,5 тыс. рублей. И Магнит не выставит товары в Москве того же качества, что в стороне от столицы, ибо там нищеброды https://t.co/QiLy5i60R7",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_10217,"Солянка-2019. Наблюдаю, как мои друзья делятся ламотриджином и пьют водку, вся медиатусовочка в одном кадре",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_6044,«Альвоген» начал выпуск первого непатентованного эквивалента капсул Тамифлю в Соединенных Штатах (@ABN_Newswire),0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_7370,"@Rertostyle Хорошее средство,  я его аналог пью, адепресс,  у него компоненты растетельные, а не химия и стоит дешевле. Действующее вещество такое же. Пароксетин",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5916,это первый раз за два года(?) когда мне очень сильно нужен кветиапин чтобы уснуть сука потому что мне очень хуево в эмоциональном и моральном плане С У К А,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_13353,лезет рука в карман с баклофеном,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_8550,"Кроме того, как пишет TMZ, в анализах крови Лил Пипа обнаружили следы употребления марихуаны, кокаина и болеутоляющего «Трамадол». В моче рэпера нашли остатки гидрокодона, гидроморфона, оксикодона, оксиморфона и оксимирона",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_7773,"исключить бухло, кофе, чай, курение вообще. Таблы: фенибут, пароксетин, валерьянка в таблах (при сердцебиении)",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_11452,Мне бы простого человеческого валиума или ксанакса（,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1583,"у МЕНЯ ТРОЕ ДЕТЕЙ. Младшей дочке 11 месяцев. Однажды у неё поднялась температура, и я вызвала врача на дом. Когда пришла врач, осмотрев ребёнка, сделала вывод, что это вирусная инфекция, и выписала Кипферон. Муж побежал в аптеку, а когда пришёл, сунул мне чек на этот Кипферон. Я аж вздрогнула! Конечно здоровье ребёнка важнее, но честно говоря, Анаферон ни чуть не хуже Кипферона. Температура у ребёнка спала где-то через час после применения. А позже выяснилось, что у ребёнка просто резались зубки, и температура из-за этого повысилась тогда. Сейчас храню Кипферон в холодильнике, как сказано в инструкции. Всем доброго здоровья! Общее впечатление : Помогает не хуже других лекарственных средств.",0.0,RuDReC,review,ru,SMM4H_26_train
ru_2137,"Я пустырник в сухом виде никогда не пробовала пить, поэтому не знаю, каково его реальное воздействие.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_7885,"до сих пор помню,как Порошенко и Тимошенко бегут наперегонки встречать борт с просроченным Тамифлю",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_4923,И о чудо!,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_4958,"Конечно же не хотелось что-бы то ни было принимать, даже разрешенное к применению во время беременности, но тут ещё старшая дочь пришла с температурой из садика, это подтолкнуло меня быстрее идти в аптеку.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_7784,противовирусная активность сравнима с осельтамивиром АХАХАХАХАХАХАХАХ активен в отношении резистентных к др. преп-ам штаммов АХАХАХАХАХАХХА,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_4937,"На приеме у врача мне было даже неловко, когда меня, как ребенка, спросили, чему я удивляюсь (у меня зудело все ниже пояса), будто у меня никогда не было молочницы.",1.0,RuDReC,sentence,ru,SMM4H_26_train
ru_10683,"Я уже выдохлась и думаю о том, можно ли дать себе сальбутамол или это будет проявлением слабости",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5831,«клинический депрессивный фекалофил на прозаке»,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_12540,"Спасибо, мы вчера впервые попробовали, обычно стараемся без препаратов по максимуму, но он толком не спал из-за кашля несколько дней. Астма из-за сальбутамола?",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_6505,Есть ли жизнь без ксанакса?,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_9168,"@Wizard_Severus психологу самому бы к кому-то обратиться, честно говоря, одна из самых несчастных профессий. а в тревожных состояниях и депрессии лучше идти к психиатру сразу - не стоит думать, что вас сразу кинут на палату и будут закармливать всякими овощными препаратами типа рексетина. обнял.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_10691,"все лучшие слова начинаются на ф: феназепам, флуоксетин, фенобарбитал, фенибут..:)))))))",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_13332,"я про симбалту, но там список вообще длинный. может и еще что-то есть такое",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_100,"В итоге зрение перестало ухудшаться, сейчас заметны улучшения.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_6367,"да у меня тож сальбутамол ( вентолин ) от приступов, а на постоянной то на ночь каждый день фликсотид ( флютиказона пропионат ) такие дела",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_2159,"Взяла ребенку для укрепления иммунитета... т. к нам его педиатр посоветовала, даже на вкус не попробовала.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_8565,"40. Какие у вас есть похожие на Сиофор только немецкие?  -так он и есть немецкий -НЕТ  -смотрите, есть метеорите беларуский, глюкофаж французский и сиофор немецкий  -АЙ ВЫ НИЧЕГО НЕ ЗНАЕТЕ   🙃🙃🙃🙃🙃",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_7391,как словить аццких глюканов. ожидание: наркотики. реальность: 25мг сероквеля.,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_12891,Эзомепразол купить в аптеке онлайн -,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1986,Можно делать!,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_8935,"Закинься парой таблеткой диметиламиламина, зажуй прозак и догоняйся буспироном или феназепамом.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_2658,"Сегодня хотелось бы рассказать о таблетках, которые при болезни приходится принимать.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_12799,"ни одно государство содержать не будет,только оказывать поддержку. И надо признавать отца, в таком случае он должен платить алименты . У меня бронх.астма у ребенка. Пульмикорт, Беродуал давали. А сейчас Серетид. Наша поликлиника всегда выдавала, ни разу не жаловалась.",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5755,"Привет,флу только 1 плашка осталась,триттико есть",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1710,"Впечатлений много и все за ночь, происходили после приема да хочется спать, как написано в инструкции через 30 -40 минут, потом начинаются кошмары.",1.0,RuDReC,sentence,ru,SMM4H_26_train
ru_3705,"если пить регулярно, хотя-бы 2 недели и в принципе, стараться не нервничать, то помогает, хотя и не сразу... Общее впечатление : Успокаивает, но не всегда...",1.0,RuDReC,sentence,ru,SMM4H_26_train
ru_9002,"@ilya_shtern Пока не знаю, мне его выписали вместо трифтазина и оланзапина.   Психиатрка и психотерапевтка говорят, что он действует мягче чем то, что я принимал раньше. Атипичный нейролептик",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_1777,"На дворе осень, период простуды, в аптеке брала детям гематогенку и перед кассой стояли бутылочки сиропа шиповника, а я как-то забыла, что в детстве их пили для повышения иммунитета, ведь в нём большое содержание витамина С и других полезных компонентов.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_1366,прививку.,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_13437,С крестора я вообще упала Абсолютно идентично че,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_2907,Спросила у фармацевта совета.,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_2767,"Состав, вкус, цвет, запах, даже спиртовая основа, все совершенно идентично.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_3327,отвод).,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_2815,Всё равно заболели!,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_8405,@zvezdunova94 спасибо!!)) выдали в аптеке короче капли ципрофлоксацин и мазь гидрокортизон)) и яйцо тоже приложу))),0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_2966,Да и не помогает оно ничего.,0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_2690,"Цена не заоблачная, но если сравнивать с другими противовирусными и иммуномодуляторами то этот препарат самый лучший!",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_7027,"Мне понравилось видео ""TECOS - от теории к практике применения ситаглиптина""",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_11607,К ним идут снотворные стоимостью почти 1к. Вот диагноз с больницы и снотворные. Не могу показать сертралин потому что уже закончился и пока сижу с пароксетином тк неправильно в рецепте указали колво. К тому же у меня грохнулся комп нужно в ремонт .,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_10955,ПОЧЕМУ В ЭТОМ ДОМЕ НЕТ САЛЬБУТАМОЛА,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_12554,IQ НАЦИИ ЗАВИСИТ ОТ УРОВНЯ ТИРОКСИНА!!! (с),0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_4029,"контрацептив, и у некоторых мужчин возникает бесплодие навсегда.",0.0,RuDReC,sentence,ru,SMM4H_26_train
ru_8585,все на стиле а я на флуоксетине,0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_5570,"Вот вот, ну был и был, отьехал от палённого Ксанакса, доигрался в ""реальную жизнь""",0.0,RuDReC,tweet,ru,SMM4H_26_train
ru_2806,Анаферон давала и при простудах и для профилактики.,0.0,RuDReC,sentence,ru,SMM4H_26_train
